Name,X,Y,Label
Wilhelmina Drive,33.782974562068965,-84.55940670689654,11
Marks Lane Southwest,33.77457515,-84.54586855000001,11
Shadygrove Walk,33.80347126666667,-84.61782756666666,11
Magnolia Avenue,33.78721003333333,-84.53232148333333,11
Magnolia Avenue,33.79019673333333,-84.53299746666667,11
Stoney Way,33.802151,-84.5920495,11
Panda Court,33.78519213333333,-84.60143626666667,11
Rowland Road Southwest,33.775280133333325,-84.54073171111112,11
Hillcrest Drive Southeast,33.78442418510638,-84.55491792340425,11
Timothy Lane,33.79833608,-84.61651058,11
Ling Court,33.784525825,-84.59620277500001,11
Interstate Court Southwest,33.774044461538466,-84.5420978,11
Birch Log Place,33.786618999999995,-84.60097933333334,11
Birch Log Place,33.78694779999999,-84.60072740000001,11
Mountain Court Southeast,33.80196075,-84.53795844999999,11
Flamingo Drive,33.780577281250004,-84.58704223125,11
Burney Drive,33.802344000000005,-84.574859,11
Allison Court,33.78352175,-84.596711875,11
Susan Place Southwest,33.79744433333333,-84.57300866666667,11
Emily Lane,33.792232,-84.5927395,11
Charity Lane,33.7973514,-84.5739526,11
Clydesdale Lane Southeast,33.802598338461536,-84.54791520384616,11
Brookside Village Parkway,33.802432564285716,-84.51796385,11
Clearstream Way,33.78864180000001,-84.55565340000001,11
Mount Pisgah Downs,33.80213945714285,-84.59119106666665,11
Whitney Court,33.7883066,-84.53369339999999,11
Willow Log Court,33.7851739,-84.60031933333333,11
Cobbler's Way,33.7877376,-84.55763225000001,11
Highview Drive Southeast,33.802998555555554,-84.54636433333333,11
Ash Log Court,33.787460499999995,-84.59613999999999,11
Calgary Glen,33.77649703333333,-84.56857612222223,11
Calgary Glen,33.77656439999999,-84.56865005454546,11
Calgary Glen,33.77731403333333,-84.57039113333333,11
Brookside Trace,33.803774777777775,-84.51864831111111,11
Six Flags Parkway,33.78006764888889,-84.54117726444444,11
Venetian Way,33.80296194736842,-84.55710621052633,11
Godfrey Drive,33.800798500000006,-84.56120466666667,11
Poplar Log Place,33.78770355555557,-84.59196511111112,11
Nash Circle,33.79708044642857,-84.56647387142857,11
Driskell Court,33.780768,-84.5841635,11
Weber Circle,33.77594485128205,-84.56492710769228,11
Concepts 21 Circle Southwest,33.777937310344825,-84.56247406896551,11
Jane Drive,33.7978966125,-84.57943113750001,11
Lummus Avenue,33.78729703333333,-84.57125351666667,11
Florrie Drive,33.80286288333333,-84.57554963333332,11
Oak Ridge Road,33.78244171818181,-84.59950365000002,11
Silver Creek Lane,33.803509,-84.61331933333334,11
Silver Creek Lane,33.80269381428572,-84.61386135714285,11
Pine Hollow Road,33.77639200000001,-84.58244766666668,11
Winterglen Lane,33.778032100000004,-84.58527285,11
Ivey Trace,33.79777214285714,-84.5375257142857,11
Ivey Trace,33.79763377333334,-84.5356911,11
Ivey Trace,33.7973265,-84.5386755,11
Charles Road,33.797660875,-84.59591710000001,11
Allen Road Southeast,33.8039382,-84.5511946,11
Winnstead Drive,33.78888110999999,-84.53130515,11
Interstate West Parkway,33.7728382625,-84.59703419375,11
Malvin Drive,33.793124,-84.60144833333334,11
Ivy Log Drive Southwest,33.78676112142857,-84.59568244285713,11
Denny Lane,33.801102,-84.5770805,11
Pecan Log Place,33.78841961538461,-84.60198438461538,11
Dearing Court,33.7911348,-84.533535,11
Kathrn Court Southwest,33.78342055,-84.58452492500001,11
Gordon Circle,33.79563686666667,-84.561263,11
Blackhawk Trail Southeast,33.802905319999994,-84.53540113500003,11
Garner Road,33.803186,-84.564267,11
Roy Avenue Southwest,33.803778,-84.59447,11
Hillcrest Chase Lane,33.779690278260865,-84.55274993913044,11
Stoneycreek Overlook,33.802427525,-84.58926372500001,11
Regency Way,33.80397505,-84.55283589999999,11
Birch Street,33.7538138,-84.5783249875,11
Revena Drive,33.78849625,-84.59008893749998,11
Lake Crossing,33.779041889999995,-84.59375747499999,11
Lake Crossing,33.778881,-84.595102,11
Lake Crossing,33.77910850000001,-84.593522,11
Lake Crossing,33.77801342368421,-84.59701145263159,11
Landmark Way,33.786665223529404,-84.56667956470588,11
Pine Circle,33.79770254545454,-84.56054754545454,11
Nan Court,33.796586149999996,-84.60569955,11
Aspen Log Place,33.785776000000006,-84.5925027,11
Sweetwater Circle,33.78294316190477,-84.54743417142856,11
Village Drive,33.7594549,-84.57747626666666,11
Marlin Drive,33.79238725,-84.59633635,11
Twin Hill Court,33.7728195,-84.56313,11
Orris Lane,33.799886785714286,-84.5809012,11
Keith Avenue,33.78682394,-84.56979288,11
Revena Court,33.788889,-84.58912614285714,11
Lobelia Road Southwest,33.79935857142857,-84.58140528571428,11
Lobelia Road Southwest,33.797163,-84.581506,11
Silverton Court,33.779714999999996,-84.5909135,11
Clearstream Lane,33.7887066,-84.5561326,11
Nellie Court Southeast,33.799747,-84.55440750000001,11
Cedar Street,33.75361425,-84.57810655,11
Ellison Court,33.794303811111114,-84.58211204444444,11
Laura Lane,33.79283705555555,-84.5938206,11
Joann Avenue,33.78532011111111,-84.57060665555555,11
Hembree Lane,33.78709628571429,-84.58830557142858,11
Mount Pisgah Lane,33.8029819375,-84.585896375,11
Whisper Lane,33.7773661625,-84.5737744875,11
Whisper Lane,33.77739845,-84.5740661,11
Whisper Lane,33.776625499999994,-84.5743985,11
Howard Court,33.794709999999995,-84.574922,11
Panda Road,33.7838327,-84.5999961142857,11
Lucky Lane,33.802749,-84.59619533333334,11
Tiara Trail Southeast,33.80113533333333,-84.53516200000001,11
Pine Log Place,33.78820328571428,-84.59935771428572,11
Tramell Lane Southwest,33.79958941176471,-84.59357458823528,11
Wanda Lane,33.79837418181818,-84.60617854545455,11
Hunnicutt Road Southeast,33.78848648723404,-84.54211764042553,11
Hunnicut Road,33.7873865,-84.551079,11
Winterglen Way,33.77825788,-84.58487952,11
Bishop Road,33.777148905882356,-84.54565541176471,11
Ridgefield Drive,33.7840103875,-84.5553239375,11
Montrose Court,33.78898963333333,-84.53025491111111,11
Elm Street,33.754853587499994,-84.579647575,11
McEwen Circle,33.794554825,-84.61313151249999,11
Hickory Trail,33.80365091666667,-84.53382158333334,11
Pine View Way Southwest,33.7782725,-84.581664,11
Drake Manor,33.794360533333325,-84.61499959999999,11
Roscommon Drive,33.79261845714286,-84.61298342857143,11
Brookside Drive Southeast,33.80409072727273,-84.51478636363636,11
Moody Lane,33.7905715,-84.599423,11
Walnut Log Place,33.7865577,-84.59778539999999,11
Stoney Creek Court,33.8019403,-84.58643129999999,11
Flagstone Drive Southwest,33.77779048888889,-84.56445684444444,11
Arum Drive,33.80180171666667,-84.58266916666666,11
Blackhawk Circle,33.8031553,-84.5358614,11
The Bluffs,33.7659971625,-84.5586229875,11
Richard Lane,33.784073225,-84.569223075,11
Grinder Drive,33.78365613333333,-84.59285471666665,11
Westwood Place,33.780227000000004,-84.56507871428572,11
Rioca Circle,33.79022851875,-84.54853516874999,11
Rioca Circle,33.79140334285714,-84.55075185714286,11
Nellie Trace Southeast,33.79924444444445,-84.55284022222222,11
Lee Industrial Boulevard Southwest,33.774243049999995,-84.55128055,11
Hunnicutt Road Southeast,33.78899495,-84.5485658,11
Mitchell Lane,33.79293765833334,-84.56719148333333,11
Cardinal Lane,33.7914212,-84.596945475,11
Elizabeth Lane,33.801840955555555,-84.57078134444444,11
Eaton Court,33.787031999999996,-84.533581,11
Fitzgerald Lane,33.799758,-84.60165099999999,11
Elsner Road,33.7777672,-84.57123835,11
Flagstone Way,33.779044750000004,-84.56413069999999,11
Grinder Court,33.78394545454545,-84.59465963636363,11
Maple Log Drive,33.78632113333334,-84.59729211666667,11
Cox Drive,33.7978617,-84.6115944,11
Cypress Log Place,33.78739195,-84.590703525,11
Elm Log Court,33.78794833333334,-84.59457066666666,11
South Gordon Road Southwest,33.7937861,-84.5586666,11
Community Drive,33.802478719999996,-84.56589460000001,11
Timber Trail,33.79096886666667,-84.58523288333333,11
Timber Trail,33.791415650000005,-84.5843425,11
Discovery Boulevard,33.78082655,-84.53600614999999,11
Discovery Boulevard,33.7889549875,-84.5271267,11
Wedgewood Drive,33.803794333333336,-84.55618533333335,11
Gold Court,33.80301192307692,-84.61243753846153,11
Sage Drive,33.78776755555556,-84.56630944444444,11
Bridgeport Court,33.77904772499999,-84.5985155,11
Donfred Drive,33.791039559999994,-84.56544831,11
Factory Shoals Drive,33.79833633333333,-84.57492199999999,11
David Lane,33.8018705,-84.59588249999999,11
South Dillon Road,33.79335739166667,-84.60003065000001,11
Woodbine Circle,33.79942083529412,-84.61375991764706,11
Westwood Parkway,33.77977514285714,-84.565459,11
Felton Lane,33.783323304545455,-84.5454906681818,11
Felton Lane,33.782791875,-84.54736525,11
Felton Lane,33.781740500000005,-84.54750816666665,11
Felton Lane,33.7823475,-84.54727275,11
Felton Lane,33.78207033333333,-84.54774766666667,11
Beverly Drive,33.80124781428572,-84.57217347857143,11
Factory Shoals Road Southwest,33.7764542,-84.576464,11
Factory Shoals Road Southwest,33.783752475757574,-84.57471367575758,11
West Starling Drive Southwest,33.7928495,-84.575653,11
Ivey Chase,33.79768221052631,-84.54020615789474,11
Ivey Chase,33.79788226666667,-84.54121613333334,11
Dunwoody Trail,33.7951036,-84.60353,11
Mableton Parkway,33.7799306,-84.53486533333334,11
Calgary Glen Southwest,33.777723900000005,-84.57052959999999,11
Henderson Road Southeast,33.803688199999996,-84.52200830000001,11
Troon Circle,33.755884092682926,-84.56682080243903,11
Troon Circle,33.75426694545454,-84.56830734545456,11
Troon Circle,33.75430454,-84.57033166000001,11
Pine Creek Drive,33.802732166666665,-84.60666216666668,11
Stoney Court,33.8005325,-84.58765450000001,11
Stoney Cove,33.80288395,-84.5906519,11
Twin Hill Way,33.772688599999995,-84.5614234,11
Turners Mill Road,33.78770458333333,-84.53010118333334,11
Sibyl Drive,33.7842629,-84.58311645,11
Coventry Point,33.79332920689655,-84.61357651724137,11
Nichols Drive,33.80294677777778,-84.50424385555556,11
Iveydale Road Southeast,33.80200599999999,-84.5491244,11
Knox Springs Road,33.783353992307696,-84.57761415769232,11
Withmoor Terrace,33.80175941666667,-84.60002475,11
Gordon Hills Drive,33.79490742105264,-84.56422794736842,11
Queens Ferry Place,33.78141481304349,-84.54013868695652,11
Third Flag Parkway Southwest,33.758794328,-84.583900408,11
Twin Hill Road,33.77218793809524,-84.56170666190476,11
Mark Trail,33.800413500000005,-84.6060705,11
Emily Court,33.79093877857143,-84.59282108571428,11
Crestside Drive,33.777150750000004,-84.57919425,11
Wade Road,33.783297434375,-84.5818914875,11
Bayleaf Court Southeast,33.80325685,-84.5475046,11
Sage Way,33.786531,-84.56596339999999,11
Myra Lane,33.7860271,-84.58252295,11
Austin Drive,33.80170469230769,-84.56243815384616,11
Ivey Court,33.796813533333335,-84.5415484222222,11
Pine Creek Court,33.802807,-84.606261,11
Sherwood Trail,33.79774305882353,-84.60364194117648,11
Mark Court,33.7869545,-84.5666425,11
Vera Lane,33.801384000000006,-84.57414242857143,11
Britt Road,33.79639073571429,-84.57654345000002,11
Britt Road,33.80056625,-84.57854756666667,11
Silver Creek Drive,33.800684743478264,-84.61139788695652,11
Abbey Province,33.79608766666667,-84.61327966666667,11
Queen Mill Road,33.78996580677966,-84.53892103559323,11
Ivy Log Court,33.788708199999995,-84.5927694,11
Devon Mill Way,33.785388,-84.59733949999999,11
Flamingo Drive Southwest,33.77867474999999,-84.581871,11
Starling Drive,33.791620378260866,-84.5731217,11
Gordon Hills Court,33.79448425,-84.5648365,11
Milo Drive,33.79672479090909,-84.60638366818183,11
Hickory Log Road,33.78628743243243,-84.59969,11
Creedmore Court,33.7799272,-84.5943054,11
Pine View Way,33.777429392857144,-84.58221517857142,11
Crestside Court,33.77792283333333,-84.57870483333333,11
Aspen Court,33.79102395,-84.53130385,11
Aspen Court,33.7904597,-84.53099345000001,11
Ivy Pointe Row,33.78555521538462,-84.60247115,11
Short Street,33.800095766666665,-84.61089956666667,11
Summerstone Trace,33.77708861538461,-84.58885379615384,11
Cedar Log Place,33.786354333333335,-84.59172466666666,11
Stroud Drive,33.79532374418604,-84.55292990465115,11
Persimmon Log Court,33.785828153846154,-84.59859507692308,11
Ivey Way,33.795988066666666,-84.54225410000001,11
Locust Log Way,33.7862306,-84.59968606666666,11
Hillcrest Chase Drive,33.78085992222222,-84.55241738888888,11
Castle Lake Drive,33.786524500000006,-84.53121806666667,11
Fir Street,33.75514816,-84.5789905,11
Panda Lane,33.783393535294124,-84.60118022352943,11
Marlene Lane,33.8038625,-84.5941705,11
Howells Ferry Road Southwest,33.778411073333324,-84.53937897333331,11
Ling Lane,33.7852745,-84.5941115,11
Crossing Creek Point,33.792847625,-84.59007546666665,11
Temple Circle,33.7879465,-84.5467364,11
Rochelle Drive,33.7978119,-84.5868505,11
Dodgen Road,33.79722482424243,-84.55846958787879,11
Stroud Court,33.79375535,-84.55612611250001,11
Silverton Trail,33.780593318181815,-84.59106263636362,11
Caroline Court,33.8003645,-84.5998185,11
Sweetbriar Drive,33.7996839375,-84.5831765,11
Kenneth Lane,33.80033070454545,-84.57512583636364,11
Nellie Brook Drive Southeast,33.79882187096774,-84.5531042903226,11
Gordon Woods Drive,33.79272781818182,-84.56326236363637,11
Gordon Valley Lane Southwest,33.79589375454545,-84.56507962727272,11
Lenox Lane Southwest,33.802846333333335,-84.55553333333334,11
Discovery Place,33.785014419999996,-84.53428664000002,11
Bonanza Trail,33.79295772380952,-84.55487587619048,11
Juniper Street,33.788845333333335,-84.531886,11
Juniper Street,33.75589947142857,-84.57895082857144,11
Sweetwater Circle Southeast,33.78296675,-84.54726699999999,11
Riverside Parkway,33.77878994857143,-84.58501183428574,11
Harbor Way,33.76850436,-84.55591123333333,11
Cityview Drive,33.77601555121951,-84.55715029999999,11
Sheraton Way Southeast,33.80396,-84.552601,11
Concepts 21 Circle Southwest,33.77691930666667,-84.56189357333334,11
Concepts 21 Circle Southwest,33.777371888888894,-84.56170522222222,11
Hembree Drive,33.78855943333334,-84.58671197333334,11
Tom Murphy Freeway,33.77556661999999,-84.58684088,11
Phillips Drive,33.75818591538461,-84.57233107692308,11
James Road,33.801104296153845,-84.59785231923077,11
Ambercrest Way,33.77999972413794,-84.59560155172413,11
Laurel Log Place,33.785322666666666,-84.59087088888889,11
Armstrong Place Southeast,33.802504616666674,-84.50527683333333,11
Brookside Industrial Drive Southeast,33.802812716666665,-84.51936053333334,11
Bennett Lane,33.800590666666665,-84.58264866666667,11
Whitfield Drive Southwest,33.7966919,-84.5630163,11
Cherry Log Place,33.788701,-84.601493,11
Barley Court Southeast,33.802799,-84.54929833333334,11
Dodgen Place,33.803328,-84.56088899999999,11
Dogwood Street,33.75418671111112,-84.57894858888889,11
Dogwood Street,33.75150946666667,-84.58059176666667,11
Whisper Court,33.77722899285714,-84.57335437142855,11
Mount Pisgah Court,33.80290957142857,-84.5878417142857,11
Nellie Bridge Southeast,33.7988808,-84.5523804,11
Community Road,33.80114271666667,-84.56541321666667,11
Lindsey Court,33.790175500000004,-84.5337715,11
Ashley Court,33.789432500000004,-84.531968,11
Oakdale Bluffs Drive,33.80273819999999,-84.51180892,11
Cardell Road,33.799531585714284,-84.61656239285715,11
Westwood Place Southwest,33.779937000000004,-84.565493,11
Pine Oak Trail,33.77703247826087,-84.58191286956523,11
Lower River Road Southwest,33.75122666666667,-84.58080590000002,11
Delta Court,33.776637666666666,-84.53918466666669,11
Gordon Lane,33.79404370588235,-84.58106780588234,11
Larkin Lane,33.79878525454546,-84.57980331818182,11
Songwood Drive,33.79140155555555,-84.59583940370369,11
Greenbrook Drive,33.80271528333333,-84.60312025555555,11
Jacqueline Circle,33.79994670588235,-84.60034123529412,11
Ivey Road,33.80005157586208,-84.54532068160921,11
Gardner Court,33.795528000000004,-84.57731849999999,11
Whisper Trail,33.77595062499999,-84.5734913125,11
Whisper Trail,33.7763629736842,-84.57529266315791,11
Hillcrest Chase Terrace,33.781475369230776,-84.55199816923076,11
Pecan Lane,33.78836295,-84.5315916875,11
Pleasant Drive,33.783437661538464,-84.58695169615385,11
Chestwood Lane,33.78838833333333,-84.553836,11
Roy Avenue,33.80242766666667,-84.594478,11
Creveis Road,33.799319109375006,-84.60471414687501,11
South Gordon Road,33.793787442857145,-84.55953481428571,11
Ivey Terrace Drive Southeast,33.79715533333333,-84.5382608,11
Revena Lane,33.789273314285715,-84.59118824285714,11
Collett Street,33.783454,-84.5722605,11
White Road,33.76075905142857,-84.57773058857143,11
Second Flag Drive Southwest,33.762355226666664,-84.58830926666666,11
Oak Log Place,33.7880335,-84.5997855,11
Cochran Road,33.78543436842105,-84.57277263157894,11
Nutmeg Court,33.803048866666664,-84.54937826666666,11
Cardell Circle,33.786627415789475,-84.53917603157896,11
Concepts 21 Circle Southwest,33.77623225,-84.56323950000001,11
Shimmering Court,33.7806755,-84.59083620000001,11
William Road,33.786167268750006,-84.5836446125,11
Woodman Trail,33.7859155,-84.5801715,11
Brookside Court Southeast,33.804045,-84.514848,11
Susan Drive,33.79750175,-84.5661715,11
Shenandoah Trail,33.78505124615385,-84.56521128205127,11
Shenandoah Trail,33.78679901428571,-84.56561768571429,11
Shenandoah Trail,33.78686171428571,-84.56449685714286,11
Shenandoah Trail,33.785450121052634,-84.56533789473686,11
Acacia Lane,33.789376000000004,-84.52960384615383,11
Alderman Trace,33.78073983571428,-84.55355701428572,11
Saint Elmo Court,33.7865805,-84.530676,11
Timber Trail Southwest,33.790805600000006,-84.5842359,11
Bridgewood Drive,33.78777818604651,-84.55477195348838,11
Whitfield Drive,33.796695057142855,-84.5609582142857,11
Winterbrook Way,33.77830368,-84.58912358,11
Silver Court,33.802408562500005,-84.61362019999999,11
Creekside Lane,33.79478125,-84.5669345,11
Stoney Creek Lane,33.80101558974358,-84.59008292307692,11
Oakhill Circle,33.781711175,-84.563432525,11
Premier Lane Southwest,33.7773801,-84.56573135,11
Queens Ferry Drive Southeast,33.78308551666667,-84.54055466666667,11
Evans Circle,33.8019965,-84.5699585,11
Tarleton Way,33.78941128571429,-84.53264547619047,11
Carriage Drive,33.79230885714286,-84.5634406,11
Ling Way,33.78344860714286,-84.59569135714285,11
Temple Circle Southeast,33.78865258333333,-84.54600225,11
Ambercrest Court,33.7804466375,-84.5955678875,11
Hartman Road,33.770657789090905,-84.56969111636364,11
Greenbrook Circle,33.80203578846153,-84.60269092307693,11
Kell Drive,33.7929185,-84.60016325000001,11
Old Alabama Road Southwest,33.80261075384615,-84.61768823846154,11
Starling Place,33.79323645,-84.57146950625,11
Maxham Road,33.80077693333334,-84.6200995,11
Quality Way,33.795943,-84.616773,11
Angelina Drive,33.7973422,-84.6177077,11
Colonial Pipeline - Atlanta => Bainbridge,33.79957649090909,-84.6187006818182,9
Gordon Branch,33.79272529411765,-84.59836929411765,16
Pine Creek,33.798413348051945,-84.6125269844156,16
Butternut Creek,33.802992749999994,-84.621019,16
Jetts Lake,33.78623999512195,-84.53267658536585,16
Lake Ca Reca,33.766439,-84.56980683529412,16
Carroll Branch,33.79149886046512,-84.59122821705427,16
Carrol Branch,33.799109015,-84.57785694,16
Seybert Lake,33.77747808431372,-84.59445966862745,16
Gordon Creek,33.78748726111112,-84.60737411111111,16
Kings Lake,33.780105583333324,-84.56157444444445,16
Lake Starling,33.793900890625,-84.569623375,16
South Cobb Water Reclamation Facility,33.77633404,-84.53886228,9
Wallace Park,33.797525727777774,-84.58385161666666,6
River Line Park,33.80352396666667,-84.5078051,6
Brookside Village,33.801976877777776,-84.5165754,12
Riverside School,33.788242350000004,-84.56831202500001,1
Shady Ridge Lane,33.79196266363636,-84.58820505909092,11
Shady Ridge Place,33.791447700000006,-84.5888047,11
Willow Bend Lane,33.79470988333333,-84.5882575,11
Willow Crest Landing,33.795495410526314,-84.58852634210528,11
Willow Crest Way,33.795698025,-84.58730803750001,11
Willow Bend Court,33.79486795,-84.58733055,11
Martin's Creek Drive,33.7945556125,-84.59781591250001,11
Brandemere Drive,33.7939228,-84.60769306666667,11
Brandemere Way,33.79383953333333,-84.60632933333333,11
Brandemere Lane,33.794688825,-84.606150075,11
South Gordon Road,33.79949837272727,-84.60850663636363,11
Oak Ridge Commerce Way,33.78757838857143,-84.60509636285715,11
Blairs Point Drive,33.78295238571429,-84.59133332857142,11
Blair's View Drive Southwest,33.782177225,-84.5924647,11
Blair's View Drive Southwest,33.78203563333333,-84.59282696666666,11
Blair Bridge Road,33.78660356111111,-84.58570094722222,11
Pisgah Road,33.79418245,-84.58993112499999,11
Grovecrest Way,33.80377945,-84.6104435,11
Carisbrook Place,33.8034152,-84.60826893999999,11
Ashton Park Drive,33.80294563333334,-84.58334459999999,11
Ashton Park Court,33.803079033333326,-84.58445466666667,11
Orris Lane,33.79972445,-84.57827415,11
Winding Wade Trail,33.786724671428566,-84.5791642714286,11
Wade Farm Drive,33.78719911818182,-84.57834900909091,11
Daniel Springs Way,33.7868498,-84.57857185,11
Tomahawk Place,33.78202777083333,-84.57791291666666,11
O'Neil Court,33.782592775,-84.57860355,11
Shoals Way,33.780976949999996,-84.57608010000001,11
Olivia Point,33.78144066666667,-84.5744193,11
Springchase Way,33.78048796363636,-84.57788059090909,11
Springchase Way,33.7796008,-84.57908760000001,11
Springchase Drive,33.779491650000004,-84.57771433,11
Chasewater Lane,33.780771099999995,-84.57899284285715,11
Springgrove Court,33.78033553636364,-84.58011297272726,11
Ivy Pointe Row,33.78146031363636,-84.60280153636364,11
Ivy Pointe Row,33.7823033,-84.60287563333334,11
